flashcard_index,flashcard_question,flashcard_answer,flashcard_keyword,flashcard_topic
3,What is Hemosiderin?,Hemosiderin is an endogenous pigment related to hemosiderosis.,"['Hemosiderin', 'endogenous pigment', 'hemosiderosis']",Endogenous Pigments
4,What is the role of Melanin?,Melanin is an endogenous pigment responsible for brown atrophy.,"['Melanin', 'endogenous pigment', 'atrophy']",Endogenous Pigments
1,What is dystrophic calcification?,Dystrophic calcification is a type of abnormal tissue deposition of calcium salts.,"['dystrophic calcification', 'abnormal tissue deposition', 'calcium salts']",Pathologic Calcification
2,What causes dystrophic calcification?,Dystrophic calcification occurs in areas of necrosis.,"['dystrophic calcification', 'necrosis']",Pathologic Calcification
3,Where can dystrophic calcification be found?,"Dystrophic calcification can be found in atherosclerotic arteries, damaged heart valves, and necrotic tumors.","['dystrophic calcification', 'atherosclerotic arteries', 'damaged heart valves', 'necrotic tumors']",Pathologic Calcification
4,What is a Psammoma body?,A Psammoma body is a type of round or oval calcified structure found in various tissues.,"['Psammoma body', 'calcified structure']",Pathologic Calcification
1,What conditions can lead to metastatic calcification?,"Metastatic calcification can occur due to hyperparathyroidism, destruction of bone tissue, vitamin D-related disorders, and renal failure.","['metastatic calcification', 'hyperparathyroidism', 'destruction of bone tissue', 'vitamin D-related disorders', 'renal failure']",Metastatic Calcification
2,Where can metastatic calcification occur in the body?,"Metastatic calcification can occur widely throughout the body, including interstitial tissues of the gastric mucosa, kidneys, lungs, systemic arteries, and pulmonary vein.","['metastatic calcification', 'gastric mucosa', 'kidneys', 'lungs', 'systemic arteries', 'pulmonary vein']",Metastatic Calcification
3,What is nephrocalcinosis?,Nephrocalcinosis is a condition where metastatic calcification occurs in the kidneys.,"['nephrocalcinosis', 'kidneys']",Metastatic Calcification in Kidneys
4,What is pathologic calcification?,Pathologic calcification refers to the abnormal deposition of calcium salts in tissues.,['pathologic calcification'],Pathologic Calcification
1,What is cellular aging?,A progressive decline in cellular function and viability caused by genetic abnormalities and the accumulation of cellular and molecular damage due to exposure to exogenous influences.,"['Cellular Aging', 'Decline', 'Function', 'Viability', 'Genetic Abnormalities']",Cellular Aging
2,Why does cellular aging occur?,Cellular aging occurs due to genetic abnormalities and the accumulation of cellular and molecular damage caused by exposure to exogenous influences.,"['Cellular Aging', 'Genetic Abnormalities', 'Accumulation', 'Exposure', 'Exogenous Influences']",Cellular Aging
3,What are the causes of cellular aging?,Cellular aging is caused by genetic abnormalities and the accumulation of cellular and molecular damage due to exposure to exogenous influences.,"['Cellular Aging', 'Genetic Abnormalities', 'Accumulation', 'Exposure']",Cellular Aging
4,How does cellular aging affect cells?,Cellular aging results in a decline in cellular function and viability.,"['Cellular Aging', 'Decline', 'Function', 'Viability']",Cellular Aging
5,What are the two main factors contributing to cellular aging?,The two main factors contributing to cellular aging are genetic abnormalities and exposure to exogenous influences.,"['Cellular Aging', 'Genetic Abnormalities', 'Exposure', 'Exogenous Influences']",Cellular Aging
6,What is the result of the accumulation of cellular and molecular damage in cells?,The result of the accumulation of cellular and molecular damage in cells is a decline in cellular function and viability.,"['Cellular Aging', 'Accumulation', 'Cellular Damage', 'Molecular Damage', 'Decline']",Cellular Aging
7,What are the two types of damage that contribute to cellular aging?,The two types of damage that contribute to cellular aging are genetic abnormalities and damage caused by exposure to exogenous influences.,"['Cellular Aging', 'Genetic Abnormalities', 'Exposure', 'Exogenous Influences']",Cellular Aging
1,What are telomeres?,Telomeres are the protective caps at the end of chromosomes that prevent the loss of genetic information during cell division.,"['telomeres', 'protective caps']",Telomeres
2,What is the role of telomerase in cells?,"Telomerase is an enzyme that adds new telomere repeats to the ends of chromosomes, maintaining their length and preventing cellular aging.","['telomerase', 'enzyme']",Telomerase
3,What is replicative senescence?,Replicative senescence is the process by which cells can no longer divide and grow due to the shortening of their telomeres.,['replicative senescence'],Replicative Senescence
4,How are telomeres related to replicative senescence?,"The shortening of telomeres during cell division triggers replicative senescence, preventing the cell from dividing further.","['telomeres', 'replicative senescence']",Telomeres and Replicative Senescence
5,Why is the maintenance of telomeres and telomerase important for cells?,"The maintenance of telomeres and telomerase is essential for cells to maintain their ability to divide and grow, preventing cellular aging and senescence.","['telomeres', 'telomerase', 'cellular aging']",Importance of Telomeres and Telomerase
1,What happens to cells when they are stressed beyond their tolerance level?,Cell injury (reversible or irreversible) develops.,"['cell injury', 'stress']",Cell Injury
2,What is the outcome of irreversible cell injury?,Necrosis is the result.,"['irreversible injury', 'necrosis']",Irreversible Cell Injury
3,What are the specific patterns of necrosis?,"Coagulative, liquefactive, gangrenous, caseous, fat, and fibrinoid are the types.","['necrosis', 'types']",Types of Necrosis
4,What is apoptosis?,Apoptosis is individual cell death.,['apoptosis'],Apoptosis
5,How does apoptosis occur?,"It is characterized by enzymatic degradation of proteins and DNA, initiated by caspases, and the recognition and removal of dead cells by phagocytes.","['apoptosis', 'mechanisms']",Mechanisms of Apoptosis
6,What are the mechanisms that cause cell injury?,"Hypoxia and ischemia lead to ATP depletion, ischemia-reperfusion injury, oxidative stress, protein misfolding, DNA damage, mitochondrial dysfunction, and membrane damage.","['cell injury', 'mechanisms']",Cell Injury Mechanisms
1,What are adaptations in biology?,"Adaptations are reversible changes in the size, number, phenotype, or functions of cells in response to changes in their environment.",,Adaptations
2,What causes abnormal deposits of materials in cells and tissues?,Abnormal deposits of materials in cells and tissues are the result of excessive intake or defective transport or catabolism.,,Abnormal Deposits
3,What is pathologic calcification?,Pathologic calcification is the abnormal tissue deposition of calcium salts.,,Pathologic Calcification
4,What causes cellular aging?,"Cellular aging results from a combination of accumulating cellular damage, reduced capacity to divide, and reduced ability to repair damaged DNA.",,Cellular Aging
